DAC_Bits,Voltaje_DAC,Mediana_ADC1(34)_V,Mediana_ADC2(35)_V,Unnamed: 4,Vled,Iled,Vcc
59,0.764,0.464,0.601,,2.4351248,0.00601,2.9061248
60,0.776,0.465,0.61,,2.4323880000000004,0.0060999999999999995,2.9123880000000004
61,0.789,0.469,0.621,,2.4464408,0.00621,2.9374408
62,0.802,0.472,0.633,,2.4532304,0.00633,2.9562304
63,0.815,0.475,0.645,,2.46002,0.00645,2.97502
64,0.828,0.477,0.663,,2.4545464,0.0066300000000000005,2.9875464
65,0.841,0.479,0.679,,2.4510727999999995,0.006790000000000001,3.0000728
66,0.854,0.482,0.685,,2.4638624,0.00685,3.0188624
67,0.867,0.485,0.699,,2.468652,0.00699,3.037652
68,0.88,0.488,0.709,,2.4774415999999997,0.00709,3.0564416
69,0.893,0.491,0.721,,2.4842312,0.007209999999999999,3.0752312
70,0.906,0.492,0.733,,2.4784943999999998,0.00733,3.0814944
71,0.919,0.496,0.745,,2.4915472,0.00745,3.1065472
72,0.932,0.498,0.756,,2.4930736,0.00756,3.1190736
73,0.945,0.502,0.766,,2.5081264,0.00766,3.1441264
74,0.958,0.503,0.779,,2.5013896,0.00779,3.1503896
75,0.971,0.504,0.791,,2.4956528000000002,0.00791,3.1566528000000003
76,0.984,0.507,0.802,,2.5034424,0.008020000000000001,3.1754424
77,0.996,0.508,0.812,,2.4997056000000004,0.00812,3.1817056000000004
78,1.009,0.513,0.828,,2.5150216000000003,0.00828,3.2130216000000003
79,1.022,0.515,0.839,,2.5165480000000002,0.00839,3.2255480000000003
80,1.035,0.517,0.853,,2.5150744000000005,0.00853,3.2380744000000004
81,1.048,0.518,0.864,,2.5103376,0.00864,3.2443376
82,1.061,0.521,0.877,,2.5161272000000006,0.00877,3.2631272000000004
83,1.074,0.525,0.886,,2.53218,0.00886,3.28818
84,1.087,0.528,0.897,,2.5399696,0.00897,3.3069696000000004
85,1.1,0.529,0.91,,2.5332328,0.0091,3.3132328
86,1.113,0.53,0.92,,2.5294960000000004,0.0092,3.3194960000000004
87,1.126,0.532,0.932,,2.5300224000000004,0.00932,3.3320224000000005
88,1.139,0.537,0.942,,2.5513384000000006,0.00942,3.3633384000000004
