dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
227,2.938,896,0.722,3632,2.927,1.4049999999999998,0.02927
228,2.951,899,0.724,3654,2.945,1.3989999999999996,0.029449999999999997
229,2.964,901,0.726,3682,2.967,1.3889999999999998,0.029670000000000002
230,2.976,902,0.727,3703,2.984,1.3780000000000001,0.02984
231,2.989,909,0.733,3731,3.007,1.3909999999999996,0.03007
232,3.002,911,0.734,3758,3.028,1.376,0.03028
233,3.015,912,0.735,3782,3.048,1.362,0.03048
234,3.028,914,0.737,3807,3.068,1.3539999999999996,0.03068
235,3.041,917,0.739,3829,3.086,1.3480000000000003,0.03086
236,3.054,919,0.741,3862,3.112,1.3339999999999996,0.031120000000000002
237,3.067,924,0.745,3888,3.133,1.3369999999999997,0.03133
238,3.08,926,0.746,3919,3.158,1.318,0.03158
239,3.093,929,0.749,3939,3.174,1.3199999999999998,0.03174
240,3.106,931,0.75,3969,3.198,1.302,0.03198
241,3.119,935,0.753,3997,3.221,1.2969999999999997,0.03221
242,3.132,939,0.757,4023,3.242,1.2999999999999998,0.03242
243,3.145,941,0.758,4061,3.273,1.275,0.03273
244,3.158,944,0.761,4081,3.289,1.2769999999999997,0.03289
245,3.171,944,0.761,4095,3.3,1.266,0.033
246,3.184,946,0.762,4095,3.3,1.2720000000000002,0.033
247,3.196,949,0.765,4095,3.3,1.29,0.033
248,3.209,953,0.768,4095,3.3,1.3080000000000007,0.033
249,3.222,956,0.77,4095,3.3,1.3200000000000003,0.033
250,3.235,959,0.773,4095,3.3,1.338,0.033
251,3.248,961,0.774,4095,3.3,1.3440000000000003,0.033
252,3.261,961,0.774,4095,3.3,1.3440000000000003,0.033
253,3.274,965,0.778,4095,3.3,1.3680000000000003,0.033
254,3.287,969,0.781,4095,3.3,1.3860000000000001,0.033
255,3.3,971,0.782,4095,3.3,1.3920000000000003,0.033
