dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
156,2.019,933,0.752,2423,1.953,2.559,0.019530000000000002
157,2.032,934,0.753,2437,1.964,2.554,0.01964
158,2.045,939,0.757,2449,1.974,2.5679999999999996,0.01974
159,2.058,942,0.759,2467,1.988,2.5660000000000003,0.01988
160,2.071,944,0.761,2485,2.003,2.5629999999999997,0.020030000000000003
161,2.084,944,0.761,2499,2.014,2.552,0.020139999999999998
162,2.096,949,0.765,2512,2.024,2.566,0.02024
163,2.109,955,0.77,2527,2.036,2.584,0.02036
164,2.122,956,0.77,2544,2.05,2.5700000000000003,0.020499999999999997
165,2.135,958,0.772,2559,2.062,2.57,0.02062
166,2.148,960,0.774,2577,2.077,2.567,0.02077
167,2.161,962,0.775,2597,2.093,2.5570000000000004,0.02093
168,2.174,967,0.779,2608,2.102,2.5720000000000005,0.021019999999999997
169,2.187,971,0.782,2621,2.112,2.58,0.02112
170,2.2,973,0.784,2641,2.128,2.5760000000000005,0.02128
171,2.213,976,0.787,2654,2.139,2.5830000000000006,0.02139
172,2.226,976,0.787,2672,2.153,2.5690000000000004,0.02153
173,2.239,979,0.789,2688,2.166,2.568,0.02166
174,2.252,981,0.791,2703,2.178,2.5680000000000005,0.02178
175,2.265,987,0.795,2723,2.194,2.5760000000000005,0.02194
176,2.278,988,0.796,2730,2.2,2.5759999999999996,0.022000000000000002
177,2.291,991,0.799,2739,2.207,2.5870000000000006,0.02207
178,2.304,993,0.8,2758,2.223,2.577000000000001,0.02223
179,2.316,998,0.804,2778,2.239,2.585,0.02239
180,2.329,1002,0.807,2790,2.248,2.5940000000000003,0.022480000000000003
181,2.342,1004,0.809,2810,2.264,2.5900000000000003,0.022639999999999997
182,2.355,1006,0.811,2819,2.272,2.5940000000000007,0.022719999999999997
183,2.368,1008,0.812,2837,2.286,2.586,0.022860000000000002
184,2.381,1010,0.814,2855,2.301,2.5829999999999993,0.023010000000000003
185,2.394,1012,0.816,2868,2.311,2.585,0.02311
186,2.407,1018,0.82,2891,2.33,2.59,0.0233
187,2.42,1019,0.821,2899,2.336,2.5900000000000003,0.02336
188,2.433,1023,0.824,2920,2.353,2.5909999999999997,0.023530000000000002
189,2.446,1031,0.831,2932,2.363,2.6229999999999998,0.023629999999999998
190,2.459,1031,0.831,2953,2.38,2.606,0.023799999999999998
191,2.472,1036,0.835,2965,2.389,2.621,0.023889999999999998
192,2.485,1039,0.837,2979,2.401,2.6210000000000004,0.024009999999999997
193,2.498,1040,0.838,2993,2.412,2.6159999999999997,0.02412
194,2.511,1043,0.841,3011,2.426,2.619999999999999,0.02426
195,2.524,1045,0.842,3026,2.439,2.6129999999999995,0.024390000000000002
196,2.536,1046,0.843,3047,2.455,2.6029999999999998,0.024550000000000002
197,2.549,1051,0.847,3066,2.471,2.6109999999999998,0.02471
198,2.562,1055,0.85,3086,2.487,2.6129999999999995,0.02487
199,2.575,1057,0.852,3105,2.502,2.6100000000000003,0.025019999999999997
200,2.588,1060,0.854,3120,2.514,2.61,0.02514
201,2.601,1063,0.857,3137,2.528,2.6139999999999994,0.02528
202,2.614,1067,0.86,3158,2.545,2.615,0.02545
203,2.627,1070,0.862,3173,2.557,2.6149999999999998,0.02557
204,2.64,1072,0.864,3195,2.575,2.609,0.025750000000000002
205,2.653,1072,0.864,3214,2.59,2.5940000000000003,0.0259
206,2.666,1075,0.866,3231,2.604,2.5919999999999996,0.02604
207,2.679,1079,0.87,3251,2.62,2.5999999999999996,0.0262
208,2.692,1081,0.871,3266,2.632,2.594,0.02632
209,2.705,1086,0.875,3281,2.644,2.606,0.02644
210,2.718,1088,0.877,3305,2.663,2.5990000000000006,0.026629999999999997
211,2.731,1090,0.878,3326,2.68,2.5879999999999996,0.0268
212,2.744,1093,0.881,3344,2.695,2.5909999999999997,0.026949999999999998
213,2.756,1098,0.885,3365,2.712,2.5980000000000003,0.027120000000000002
214,2.769,1099,0.886,3383,2.726,2.59,0.02726
215,2.782,1103,0.889,3408,2.746,2.5879999999999996,0.02746
216,2.795,1104,0.89,3430,2.764,2.576,0.027639999999999998
217,2.808,1105,0.89,3450,2.78,2.56,0.0278
218,2.821,1109,0.894,3473,2.799,2.565,0.02799
219,2.834,1111,0.895,3493,2.815,2.555,0.028149999999999998
220,2.847,1115,0.899,3520,2.837,2.557,0.028370000000000003
221,2.86,1118,0.901,3541,2.854,2.5520000000000005,0.02854
222,2.873,1121,0.903,3567,2.875,2.543,0.02875
223,2.886,1124,0.906,3597,2.899,2.537,0.028990000000000002
224,2.899,1127,0.908,3618,2.916,2.5320000000000005,0.02916
225,2.912,1133,0.913,3649,2.941,2.537,0.02941
226,2.925,1133,0.913,3664,2.953,2.525,0.029529999999999997
227,2.938,1136,0.915,3693,2.976,2.5140000000000002,0.029759999999999998
228,2.951,1137,0.916,3722,2.999,2.4970000000000003,0.029990000000000003
229,2.964,1138,0.917,3754,3.025,2.4770000000000008,0.03025
230,2.976,1143,0.921,3771,3.039,2.4869999999999997,0.03039
231,2.989,1149,0.926,3808,3.069,2.487,0.03069
232,3.002,1150,0.927,3825,3.082,2.4800000000000004,0.03082
233,3.015,1152,0.928,3851,3.103,2.4650000000000003,0.031030000000000002
234,3.028,1155,0.931,3879,3.126,2.4600000000000004,0.031259999999999996
235,3.041,1157,0.932,3907,3.148,2.4440000000000004,0.03148
236,3.054,1159,0.934,3937,3.173,2.431,0.03173
237,3.067,1163,0.937,3966,3.196,2.4259999999999997,0.03196
238,3.08,1166,0.94,3991,3.216,2.4239999999999995,0.03216
239,3.093,1168,0.941,4020,3.24,2.4059999999999997,0.032400000000000005
240,3.106,1169,0.942,4042,3.257,2.394999999999999,0.03257
241,3.119,1172,0.944,4077,3.285,2.3789999999999996,0.032850000000000004
242,3.132,1175,0.947,4095,3.3,2.3819999999999997,0.033
243,3.145,1179,0.95,4095,3.3,2.3999999999999995,0.033
244,3.158,1181,0.952,4095,3.3,2.412,0.033
245,3.171,1185,0.955,4095,3.3,2.4299999999999997,0.033
246,3.184,1185,0.955,4095,3.3,2.4299999999999997,0.033
247,3.196,1189,0.958,4095,3.3,2.4479999999999995,0.033
248,3.209,1193,0.961,4095,3.3,2.466,0.033
249,3.222,1195,0.963,4095,3.3,2.4779999999999998,0.033
250,3.235,1198,0.965,4095,3.3,2.49,0.033
251,3.248,1200,0.967,4095,3.3,2.502,0.033
252,3.261,1201,0.968,4095,3.3,2.508,0.033
253,3.274,1203,0.969,4095,3.3,2.5140000000000002,0.033
254,3.287,1206,0.972,4095,3.3,2.532,0.033
255,3.3,1210,0.975,4095,3.3,2.55,0.033
