dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
57,0.738,672,0.542,912,0.735,2.5170000000000003,0.00735
58,0.751,674,0.543,928,0.748,2.51,0.00748
59,0.764,678,0.546,944,0.761,2.515,0.00761
60,0.776,679,0.547,958,0.772,2.51,0.00772
61,0.789,685,0.552,975,0.786,2.526,0.00786
62,0.802,687,0.554,987,0.795,2.5290000000000004,0.00795
63,0.815,690,0.556,1005,0.81,2.526,0.0081
64,0.828,691,0.557,1015,0.818,2.5240000000000005,0.00818
65,0.841,695,0.56,1037,0.836,2.5240000000000005,0.00836
66,0.854,698,0.562,1050,0.846,2.526,0.00846
67,0.867,702,0.566,1068,0.861,2.535,0.00861
68,0.88,704,0.567,1077,0.868,2.534,0.00868
69,0.893,707,0.57,1099,0.886,2.534,0.00886
70,0.906,709,0.571,1109,0.894,2.532,0.00894
71,0.919,712,0.574,1123,0.905,2.539,0.00905
72,0.932,719,0.579,1138,0.917,2.5569999999999995,0.00917
73,0.945,720,0.58,1159,0.934,2.546,0.00934
74,0.958,720,0.58,1171,0.944,2.536,0.0094399999999999
75,0.971,724,0.583,1193,0.961,2.537,0.00961
76,0.984,726,0.585,1202,0.969,2.541,0.0096899999999999
77,0.996,730,0.588,1216,0.98,2.548,0.0098
78,1.009,735,0.592,1237,0.997,2.555,0.00997
79,1.022,738,0.595,1251,1.008,2.562,0.01008
80,1.035,739,0.596,1258,1.014,2.5619999999999994,0.01014
81,1.048,742,0.598,1279,1.031,2.5570000000000004,0.01031
82,1.061,746,0.601,1291,1.04,2.566,0.0104
83,1.074,750,0.604,1306,1.052,2.572,0.01052
84,1.087,752,0.606,1322,1.065,2.571,0.01065
85,1.1,754,0.608,1335,1.076,2.572,0.01076
86,1.113,755,0.608,1353,1.09,2.558,0.0109
87,1.126,759,0.612,1369,1.103,2.569,0.01103
88,1.139,765,0.616,1383,1.115,2.5809999999999995,0.01115
89,1.152,768,0.619,1395,1.124,2.59,0.01124
90,1.165,769,0.62,1415,1.14,2.58,0.0113999999999999
91,1.178,773,0.623,1425,1.148,2.59,0.0114799999999999
92,1.191,774,0.624,1440,1.16,2.584,0.0116
93,1.204,782,0.63,1458,1.175,2.6050000000000004,0.01175
94,1.216,784,0.632,1474,1.188,2.604,0.01188
95,1.229,785,0.633,1488,1.199,2.599,0.01199
96,1.242,789,0.636,1510,1.217,2.599,0.01217
97,1.255,790,0.637,1523,1.227,2.595,0.01227
98,1.268,795,0.641,1535,1.237,2.609,0.01237
99,1.281,798,0.643,1553,1.252,2.606,0.01252
100,1.294,800,0.645,1572,1.267,2.603,0.0126699999999999
101,1.307,805,0.649,1584,1.276,2.6180000000000003,0.01276
102,1.32,807,0.65,1600,1.289,2.6110000000000007,0.0128899999999999
103,1.333,809,0.652,1616,1.302,2.61,0.01302
104,1.346,814,0.656,1627,1.311,2.625,0.01311
105,1.359,816,0.658,1647,1.327,2.6210000000000004,0.0132699999999999
106,1.372,817,0.658,1662,1.339,2.6090000000000004,0.0133899999999999
107,1.385,821,0.662,1676,1.351,2.6210000000000004,0.01351
108,1.398,823,0.663,1692,1.364,2.614,0.01364
109,1.411,829,0.668,1708,1.376,2.632,0.01376
110,1.424,830,0.669,1723,1.388,2.6260000000000003,0.0138799999999999
111,1.436,834,0.672,1737,1.4,2.632,0.0139999999999999
112,1.449,836,0.674,1750,1.41,2.6340000000000003,0.0141
113,1.462,839,0.676,1766,1.423,2.633,0.01423
114,1.475,841,0.678,1777,1.432,2.636000000000001,0.01432
115,1.488,846,0.682,1793,1.445,2.647,0.01445
116,1.501,848,0.683,1809,1.458,2.640000000000001,0.01458
117,1.514,849,0.684,1829,1.474,2.63,0.01474
118,1.527,853,0.687,1840,1.483,2.639,0.01483
119,1.54,855,0.689,1853,1.493,2.640999999999999,0.01493
120,1.553,859,0.692,1870,1.507,2.645,0.0150699999999999
121,1.566,863,0.695,1885,1.519,2.651,0.0151899999999999
122,1.579,865,0.697,1902,1.533,2.649,0.01533
123,1.592,868,0.699,1916,1.544,2.65,0.01544
124,1.605,873,0.704,1933,1.558,2.6660000000000004,0.01558
125,1.618,878,0.708,1941,1.564,2.684,0.01564
126,1.631,880,0.709,1959,1.579,2.675,0.01579
127,1.644,880,0.709,1977,1.593,2.661,0.01593
128,1.656,884,0.712,2006,1.617,2.655,0.01617
